336,-626,-354,-286,-663,-525,-479,760,745,506
-603,1461,612,542,1221,1200,1138,-1289,-955,-842
318,-626,-351,-255,-606,-502,-405,807,662,468
-600,1607,645,535,1221,1200,1138,-1216,-995,-866
307,-626,-346,-185,-540,-400,-355,795,635,446
-585,1551,614,542,1221,1200,1138,-1257,-1100,-910
160,-440,-211,-175,-372,-281,-218,583,437,262
-474,1561,507,525,1162,1087,1030,-946,-827,-680
296,-564,-250,-201,-447,-352,-299,725,610,430
-545,1464,613,542,1221,1200,1138,-1184,-812,-754
261,-512,-226,-180,-421,-336,-294,720,585,404
-546,1573,607,542,1221,1200,1138,-1268,-1087,-912
12,-366,-166,-114,-221,-92,-45,351,267,114
-599,1626,645,542,1221,1200,1138,-1213,-1045,-852
330,-626,-310,-245,-527,-440,-382,804,667,474
-577,1604,645,542,1221,1200,1138,-1152,-980,-832
303,-558,-245,-205,-465,-338,-308,734,620,434
-559,1604,642,538,1221,1200,1138,-1303,-892,-794
286,-524,-243,-185,-426,-345,-288,722,572,430
-530,1511,586,542,1221,1042,1134,-1111,-952,-802
257,-490,-230,-182,-432,-350,-285,711,585,370
-480,1567,595,542,1221,1179,1044,-1082,-900,-734
207,-462,-223,-181,-408,-319,-265,647,517,326
-484,1343,556,527,1221,1063,1089,-1013,-842,-714
167,-453,-216,-191,-383,-286,-225,574,450,276
-469,1545,528,492,1162,1082,1021,-940,-812,-702
294,-533,-247,-202,-478,-362,-308,731,627,422
-490,1573,613,542,1221,1200,1138,-1138,-960,-816
252,-477,-224,-177,-403,-331,-283,696,577,394
-528,1458,583,542,1221,1198,1138,-1019,-932,-784
